race_id,season,round,race_name,date,time,circuit_id
1955_4,1955,4,Belgian Grand Prix,6/5/1955,,spa
1955_5,1955,5,Dutch Grand Prix,6/19/1955,,zandvoort
1955_6,1955,6,British Grand Prix,7/16/1955,,aintree
1955_7,1955,7,Italian Grand Prix,9/11/1955,,monza
1956_1,1956,1,Argentine Grand Prix,1/22/1956,,galvez
1956_2,1956,2,Monaco Grand Prix,5/13/1956,,monaco
1956_3,1956,3,Indianapolis 500,5/30/1956,,indianapolis
1956_4,1956,4,Belgian Grand Prix,6/3/1956,,spa
1956_5,1956,5,French Grand Prix,7/1/1956,,reims
1956_6,1956,6,British Grand Prix,7/14/1956,,silverstone
1956_7,1956,7,German Grand Prix,8/5/1956,,nurburgring
1956_8,1956,8,Italian Grand Prix,9/2/1956,,monza
1957_1,1957,1,Argentine Grand Prix,1/13/1957,,galvez
1957_2,1957,2,Monaco Grand Prix,5/19/1957,,monaco
1957_3,1957,3,Indianapolis 500,5/30/1957,,indianapolis
1957_4,1957,4,French Grand Prix,7/7/1957,,essarts
1957_5,1957,5,British Grand Prix,7/20/1957,,aintree
1957_6,1957,6,German Grand Prix,8/4/1957,,nurburgring
1957_7,1957,7,Pescara Grand Prix,8/18/1957,,pescara
1957_8,1957,8,Italian Grand Prix,9/8/1957,,monza
1958_1,1958,1,Argentine Grand Prix,1/19/1958,,galvez
1958_2,1958,2,Monaco Grand Prix,5/18/1958,,monaco
1958_3,1958,3,Dutch Grand Prix,5/26/1958,,zandvoort
1958_4,1958,4,Indianapolis 500,5/30/1958,,indianapolis
1958_5,1958,5,Belgian Grand Prix,6/15/1958,,spa
1958_6,1958,6,French Grand Prix,7/6/1958,,reims
1958_7,1958,7,British Grand Prix,7/19/1958,,silverstone
1958_8,1958,8,German Grand Prix,8/3/1958,,nurburgring
1958_9,1958,9,Portuguese Grand Prix,8/24/1958,,boavista
1958_10,1958,10,Italian Grand Prix,9/7/1958,,monza
1958_11,1958,11,Moroccan Grand Prix,10/19/1958,,ain-diab
1959_1,1959,1,Monaco Grand Prix,5/10/1959,,monaco
1959_2,1959,2,Indianapolis 500,5/30/1959,,indianapolis
1959_3,1959,3,Dutch Grand Prix,5/31/1959,,zandvoort
1959_4,1959,4,French Grand Prix,7/5/1959,,reims
1959_5,1959,5,British Grand Prix,7/18/1959,,aintree
1959_6,1959,6,German Grand Prix,8/2/1959,,avus
1959_7,1959,7,Portuguese Grand Prix,8/23/1959,,monsanto
1959_8,1959,8,Italian Grand Prix,9/13/1959,,monza
1959_9,1959,9,United States Grand Prix,12/12/1959,,sebring
1960_1,1960,1,Argentine Grand Prix,2/7/1960,,galvez
1960_2,1960,2,Monaco Grand Prix,5/29/1960,,monaco
1960_3,1960,3,Indianapolis 500,5/30/1960,,indianapolis
1960_4,1960,4,Dutch Grand Prix,6/6/1960,,zandvoort
1960_5,1960,5,Belgian Grand Prix,6/19/1960,,spa
1960_6,1960,6,French Grand Prix,7/3/1960,,reims
1960_7,1960,7,British Grand Prix,7/16/1960,,silverstone
1960_8,1960,8,Portuguese Grand Prix,8/14/1960,,boavista
1960_9,1960,9,Italian Grand Prix,9/4/1960,,monza
1960_10,1960,10,United States Grand Prix,11/20/1960,,riverside
1961_1,1961,1,Monaco Grand Prix,5/14/1961,,monaco
1961_2,1961,2,Dutch Grand Prix,5/22/1961,,zandvoort
1961_3,1961,3,Belgian Grand Prix,6/18/1961,,spa
1961_4,1961,4,French Grand Prix,7/2/1961,,reims
1961_5,1961,5,British Grand Prix,7/15/1961,,aintree
1961_6,1961,6,German Grand Prix,8/6/1961,,nurburgring
1961_7,1961,7,Italian Grand Prix,9/10/1961,,monza
1961_8,1961,8,United States Grand Prix,10/8/1961,,watkins_glen
1962_1,1962,1,Dutch Grand Prix,5/20/1962,,zandvoort
1962_2,1962,2,Monaco Grand Prix,6/3/1962,,monaco
1962_3,1962,3,Belgian Grand Prix,6/17/1962,,spa
1962_4,1962,4,French Grand Prix,7/8/1962,,essarts
1962_5,1962,5,British Grand Prix,7/21/1962,,aintree
1962_6,1962,6,German Grand Prix,8/5/1962,,nurburgring
1962_7,1962,7,Italian Grand Prix,9/16/1962,,monza
1962_8,1962,8,United States Grand Prix,10/7/1962,,watkins_glen
1962_9,1962,9,South African Grand Prix,12/29/1962,,george
1963_1,1963,1,Monaco Grand Prix,5/26/1963,,monaco
1963_2,1963,2,Belgian Grand Prix,6/9/1963,,spa
1963_3,1963,3,Dutch Grand Prix,6/23/1963,,zandvoort
1963_4,1963,4,French Grand Prix,6/30/1963,,reims
1963_5,1963,5,British Grand Prix,7/20/1963,,silverstone
1963_6,1963,6,German Grand Prix,8/4/1963,,nurburgring
1963_7,1963,7,Italian Grand Prix,9/8/1963,,monza
1963_8,1963,8,United States Grand Prix,10/6/1963,,watkins_glen
1963_9,1963,9,Mexican Grand Prix,10/27/1963,,rodriguez
1963_10,1963,10,South African Grand Prix,12/28/1963,,george
1964_1,1964,1,Monaco Grand Prix,5/10/1964,,monaco
1964_2,1964,2,Dutch Grand Prix,5/24/1964,,zandvoort
1964_3,1964,3,Belgian Grand Prix,6/14/1964,,spa
1964_4,1964,4,French Grand Prix,6/28/1964,,essarts
1964_5,1964,5,British Grand Prix,7/11/1964,,brands_hatch
1964_6,1964,6,German Grand Prix,8/2/1964,,nurburgring
1964_7,1964,7,Austrian Grand Prix,8/23/1964,,zeltweg
1964_8,1964,8,Italian Grand Prix,9/6/1964,,monza
1964_9,1964,9,United States Grand Prix,10/4/1964,,watkins_glen
1964_10,1964,10,Mexican Grand Prix,10/25/1964,,rodriguez
1965_1,1965,1,South African Grand Prix,1/1/1965,,george
1965_2,1965,2,Monaco Grand Prix,5/30/1965,,monaco
1965_3,1965,3,Belgian Grand Prix,6/13/1965,,spa
1965_4,1965,4,French Grand Prix,6/27/1965,,charade
1965_5,1965,5,British Grand Prix,7/10/1965,,silverstone
1965_6,1965,6,Dutch Grand Prix,7/18/1965,,zandvoort
1965_7,1965,7,German Grand Prix,8/1/1965,,nurburgring
1965_8,1965,8,Italian Grand Prix,9/12/1965,,monza
1965_9,1965,9,United States Grand Prix,10/3/1965,,watkins_glen
1965_10,1965,10,Mexican Grand Prix,10/24/1965,,rodriguez
1966_1,1966,1,Monaco Grand Prix,5/22/1966,,monaco
1966_2,1966,2,Belgian Grand Prix,6/12/1966,,spa
1966_3,1966,3,French Grand Prix,7/3/1966,,reims
1966_4,1966,4,British Grand Prix,7/16/1966,,brands_hatch
1966_5,1966,5,Dutch Grand Prix,7/24/1966,,zandvoort
1966_6,1966,6,German Grand Prix,8/7/1966,,nurburgring
1966_7,1966,7,Italian Grand Prix,9/4/1966,,monza
1966_8,1966,8,United States Grand Prix,10/2/1966,,watkins_glen
1966_9,1966,9,Mexican Grand Prix,10/23/1966,,rodriguez
1967_1,1967,1,South African Grand Prix,1/2/1967,,kyalami
1967_2,1967,2,Monaco Grand Prix,5/7/1967,,monaco
1967_3,1967,3,Dutch Grand Prix,6/4/1967,,zandvoort
1967_4,1967,4,Belgian Grand Prix,6/18/1967,,spa
1967_5,1967,5,French Grand Prix,7/2/1967,,lemans
1967_6,1967,6,British Grand Prix,7/15/1967,,silverstone
1967_7,1967,7,German Grand Prix,8/6/1967,,nurburgring
1967_8,1967,8,Canadian Grand Prix,8/27/1967,,mosport
1967_9,1967,9,Italian Grand Prix,9/10/1967,,monza
1967_10,1967,10,United States Grand Prix,10/1/1967,,watkins_glen
1967_11,1967,11,Mexican Grand Prix,10/22/1967,,rodriguez
1968_1,1968,1,South African Grand Prix,1/1/1968,,kyalami
1968_2,1968,2,Spanish Grand Prix,5/12/1968,,jarama
1968_3,1968,3,Monaco Grand Prix,5/26/1968,,monaco
1968_4,1968,4,Belgian Grand Prix,6/9/1968,,spa
1968_5,1968,5,Dutch Grand Prix,6/23/1968,,zandvoort
1968_6,1968,6,French Grand Prix,7/7/1968,,essarts
1968_7,1968,7,British Grand Prix,7/20/1968,,brands_hatch
1968_8,1968,8,German Grand Prix,8/4/1968,,nurburgring
1968_9,1968,9,Italian Grand Prix,9/8/1968,,monza
1968_10,1968,10,Canadian Grand Prix,9/22/1968,,tremblant
1968_11,1968,11,United States Grand Prix,10/6/1968,,watkins_glen
1968_12,1968,12,Mexican Grand Prix,11/3/1968,,rodriguez
1969_1,1969,1,South African Grand Prix,3/1/1969,,kyalami
1969_2,1969,2,Spanish Grand Prix,5/4/1969,,montjuic
1969_3,1969,3,Monaco Grand Prix,5/18/1969,,monaco
1969_4,1969,4,Dutch Grand Prix,6/21/1969,,zandvoort
1969_5,1969,5,French Grand Prix,7/6/1969,,charade
1969_6,1969,6,British Grand Prix,7/19/1969,,silverstone
1969_7,1969,7,German Grand Prix,8/3/1969,,nurburgring
1969_8,1969,8,Italian Grand Prix,9/7/1969,,monza
1969_9,1969,9,Canadian Grand Prix,9/20/1969,,mosport
1969_10,1969,10,United States Grand Prix,10/5/1969,,watkins_glen
1969_11,1969,11,Mexican Grand Prix,10/19/1969,,rodriguez
1970_1,1970,1,South African Grand Prix,3/7/1970,,kyalami
1970_2,1970,2,Spanish Grand Prix,4/19/1970,,jarama
1970_3,1970,3,Monaco Grand Prix,5/10/1970,,monaco
1970_4,1970,4,Belgian Grand Prix,6/7/1970,,spa
1970_5,1970,5,Dutch Grand Prix,6/21/1970,,zandvoort
1970_6,1970,6,French Grand Prix,7/5/1970,,charade
1970_7,1970,7,British Grand Prix,7/18/1970,,brands_hatch
1970_8,1970,8,German Grand Prix,8/2/1970,,hockenheimring
1970_9,1970,9,Austrian Grand Prix,8/16/1970,,red_bull_ring
1970_10,1970,10,Italian Grand Prix,9/6/1970,,monza
1970_11,1970,11,Canadian Grand Prix,9/20/1970,,tremblant
1970_12,1970,12,United States Grand Prix,10/4/1970,,watkins_glen
1970_13,1970,13,Mexican Grand Prix,10/25/1970,,rodriguez
1971_1,1971,1,South African Grand Prix,3/6/1971,,kyalami
1971_2,1971,2,Spanish Grand Prix,4/18/1971,,montjuic
1971_3,1971,3,Monaco Grand Prix,5/23/1971,,monaco
1971_4,1971,4,Dutch Grand Prix,6/20/1971,,zandvoort
1971_5,1971,5,French Grand Prix,7/4/1971,,ricard
1971_6,1971,6,British Grand Prix,7/17/1971,,silverstone
1971_7,1971,7,German Grand Prix,8/1/1971,,nurburgring
1971_8,1971,8,Austrian Grand Prix,8/15/1971,,red_bull_ring
1971_9,1971,9,Italian Grand Prix,9/5/1971,,monza
1971_10,1971,10,Canadian Grand Prix,9/19/1971,,mosport
1971_11,1971,11,United States Grand Prix,10/3/1971,,watkins_glen
1972_1,1972,1,Argentine Grand Prix,1/23/1972,,galvez
1972_2,1972,2,South African Grand Prix,3/4/1972,,kyalami
1972_3,1972,3,Spanish Grand Prix,5/1/1972,,jarama
1972_4,1972,4,Monaco Grand Prix,5/14/1972,,monaco
1972_5,1972,5,Belgian Grand Prix,6/4/1972,,nivelles
1972_6,1972,6,French Grand Prix,7/2/1972,,charade
1972_7,1972,7,British Grand Prix,7/15/1972,,brands_hatch
1972_8,1972,8,German Grand Prix,7/30/1972,,nurburgring
1972_9,1972,9,Austrian Grand Prix,8/13/1972,,red_bull_ring
1972_10,1972,10,Italian Grand Prix,9/10/1972,,monza
1972_11,1972,11,Canadian Grand Prix,9/24/1972,,mosport
1972_12,1972,12,United States Grand Prix,10/8/1972,,watkins_glen
1973_1,1973,1,Argentine Grand Prix,1/28/1973,,galvez
1973_2,1973,2,Brazilian Grand Prix,2/11/1973,,interlagos
1973_3,1973,3,South African Grand Prix,3/3/1973,,kyalami
1973_4,1973,4,Spanish Grand Prix,4/29/1973,,montjuic
1973_5,1973,5,Belgian Grand Prix,5/20/1973,,zolder
1973_6,1973,6,Monaco Grand Prix,6/3/1973,,monaco
1973_7,1973,7,Swedish Grand Prix,6/17/1973,,anderstorp
1973_8,1973,8,French Grand Prix,7/1/1973,,ricard
1973_9,1973,9,British Grand Prix,7/14/1973,,silverstone
1973_10,1973,10,Dutch Grand Prix,7/29/1973,,zandvoort
1973_11,1973,11,German Grand Prix,8/5/1973,,nurburgring
1973_12,1973,12,Austrian Grand Prix,8/19/1973,,red_bull_ring
1973_13,1973,13,Italian Grand Prix,9/9/1973,,monza
1973_14,1973,14,Canadian Grand Prix,9/23/1973,,mosport
1973_15,1973,15,United States Grand Prix,10/7/1973,,watkins_glen
1974_1,1974,1,Argentine Grand Prix,1/13/1974,,galvez
1974_2,1974,2,Brazilian Grand Prix,1/27/1974,,interlagos
1974_3,1974,3,South African Grand Prix,3/30/1974,,kyalami
1974_4,1974,4,Spanish Grand Prix,4/28/1974,,jarama
1974_5,1974,5,Belgian Grand Prix,5/12/1974,,nivelles
1974_6,1974,6,Monaco Grand Prix,5/26/1974,,monaco
1974_7,1974,7,Swedish Grand Prix,6/9/1974,,anderstorp
1974_8,1974,8,Dutch Grand Prix,6/23/1974,,zandvoort
1974_9,1974,9,French Grand Prix,7/7/1974,,dijon
1974_10,1974,10,British Grand Prix,7/20/1974,,brands_hatch
1974_11,1974,11,German Grand Prix,8/4/1974,,nurburgring
1974_12,1974,12,Austrian Grand Prix,8/18/1974,,red_bull_ring
1974_13,1974,13,Italian Grand Prix,9/8/1974,,monza
1974_14,1974,14,Canadian Grand Prix,9/22/1974,,mosport
1974_15,1974,15,United States Grand Prix,10/6/1974,,watkins_glen
1975_1,1975,1,Argentine Grand Prix,1/12/1975,,galvez
1975_2,1975,2,Brazilian Grand Prix,1/26/1975,,interlagos
1975_3,1975,3,South African Grand Prix,3/1/1975,,kyalami
1975_4,1975,4,Spanish Grand Prix,4/27/1975,,montjuic
1975_5,1975,5,Monaco Grand Prix,5/11/1975,,monaco
1975_6,1975,6,Belgian Grand Prix,5/25/1975,,zolder
1975_7,1975,7,Swedish Grand Prix,6/8/1975,,anderstorp
1975_8,1975,8,Dutch Grand Prix,6/22/1975,,zandvoort
1975_9,1975,9,French Grand Prix,7/6/1975,,ricard
1975_10,1975,10,British Grand Prix,7/19/1975,,silverstone
1975_11,1975,11,German Grand Prix,8/3/1975,,nurburgring
1975_12,1975,12,Austrian Grand Prix,8/17/1975,,red_bull_ring
1975_13,1975,13,Italian Grand Prix,9/7/1975,,monza
1975_14,1975,14,United States Grand Prix,10/5/1975,,watkins_glen
1976_1,1976,1,Brazilian Grand Prix,1/25/1976,,interlagos
1976_2,1976,2,South African Grand Prix,3/6/1976,,kyalami
1976_3,1976,3,United States Grand Prix West,3/28/1976,,long_beach
1976_4,1976,4,Spanish Grand Prix,5/2/1976,,jarama
1976_5,1976,5,Belgian Grand Prix,5/16/1976,,zolder
1976_6,1976,6,Monaco Grand Prix,5/30/1976,,monaco
1976_7,1976,7,Swedish Grand Prix,6/13/1976,,anderstorp
1976_8,1976,8,French Grand Prix,7/4/1976,,ricard
1976_9,1976,9,British Grand Prix,7/18/1976,,brands_hatch
1976_10,1976,10,German Grand Prix,8/1/1976,,nurburgring
1976_11,1976,11,Austrian Grand Prix,8/15/1976,,red_bull_ring
1976_12,1976,12,Dutch Grand Prix,8/29/1976,,zandvoort
1976_13,1976,13,Italian Grand Prix,9/12/1976,,monza
1976_14,1976,14,Canadian Grand Prix,10/3/1976,,mosport
1976_15,1976,15,United States Grand Prix,10/10/1976,,watkins_glen
1976_16,1976,16,Japanese Grand Prix,10/24/1976,,fuji
1977_1,1977,1,Argentine Grand Prix,1/9/1977,,galvez
1977_2,1977,2,Brazilian Grand Prix,1/23/1977,,interlagos
1977_3,1977,3,South African Grand Prix,3/5/1977,,kyalami
1977_4,1977,4,United States Grand Prix West,4/3/1977,,long_beach
1977_5,1977,5,Spanish Grand Prix,5/8/1977,,jarama
1977_6,1977,6,Monaco Grand Prix,5/22/1977,,monaco
1977_7,1977,7,Belgian Grand Prix,6/5/1977,,zolder
1977_8,1977,8,Swedish Grand Prix,6/19/1977,,anderstorp
1977_9,1977,9,French Grand Prix,7/3/1977,,dijon
1977_10,1977,10,British Grand Prix,7/16/1977,,silverstone
1977_11,1977,11,German Grand Prix,7/31/1977,,hockenheimring
1977_12,1977,12,Austrian Grand Prix,8/14/1977,,red_bull_ring
1977_13,1977,13,Dutch Grand Prix,8/28/1977,,zandvoort
1977_14,1977,14,Italian Grand Prix,9/11/1977,,monza
1977_15,1977,15,United States Grand Prix,10/2/1977,,watkins_glen
1977_16,1977,16,Canadian Grand Prix,10/9/1977,,mosport
1977_17,1977,17,Japanese Grand Prix,10/23/1977,,fuji
1978_1,1978,1,Argentine Grand Prix,1/15/1978,,galvez
1978_2,1978,2,Brazilian Grand Prix,1/29/1978,,jacarepagua
1978_3,1978,3,South African Grand Prix,3/4/1978,,kyalami
1978_4,1978,4,United States Grand Prix West,4/2/1978,,long_beach
1978_5,1978,5,Monaco Grand Prix,5/7/1978,,monaco
1978_6,1978,6,Belgian Grand Prix,5/21/1978,,zolder
1978_7,1978,7,Spanish Grand Prix,6/4/1978,,jarama
1978_8,1978,8,Swedish Grand Prix,6/17/1978,,anderstorp
1978_9,1978,9,French Grand Prix,7/2/1978,,ricard
1978_10,1978,10,British Grand Prix,7/16/1978,,brands_hatch
1978_11,1978,11,German Grand Prix,7/30/1978,,hockenheimring
1978_12,1978,12,Austrian Grand Prix,8/13/1978,,red_bull_ring
1978_13,1978,13,Dutch Grand Prix,8/27/1978,,zandvoort
1978_14,1978,14,Italian Grand Prix,9/10/1978,,monza
1978_15,1978,15,United States Grand Prix,10/1/1978,,watkins_glen
1978_16,1978,16,Canadian Grand Prix,10/8/1978,,villeneuve
1979_1,1979,1,Argentine Grand Prix,1/21/1979,,galvez
1979_2,1979,2,Brazilian Grand Prix,2/4/1979,,interlagos
1979_3,1979,3,South African Grand Prix,3/3/1979,,kyalami
1979_4,1979,4,United States Grand Prix West,4/8/1979,,long_beach
1979_5,1979,5,Spanish Grand Prix,4/29/1979,,jarama
1979_6,1979,6,Belgian Grand Prix,5/13/1979,,zolder
1979_7,1979,7,Monaco Grand Prix,5/27/1979,,monaco
1979_8,1979,8,French Grand Prix,7/1/1979,,dijon
1979_9,1979,9,British Grand Prix,7/14/1979,,silverstone
1979_10,1979,10,German Grand Prix,7/29/1979,,hockenheimring
1979_11,1979,11,Austrian Grand Prix,8/12/1979,,red_bull_ring
1979_12,1979,12,Dutch Grand Prix,8/26/1979,,zandvoort
1979_13,1979,13,Italian Grand Prix,9/9/1979,,monza
1979_14,1979,14,Canadian Grand Prix,9/30/1979,,villeneuve
1979_15,1979,15,United States Grand Prix,10/7/1979,,watkins_glen
1980_1,1980,1,Argentine Grand Prix,1/13/1980,,galvez
1980_2,1980,2,Brazilian Grand Prix,1/27/1980,,interlagos
1980_3,1980,3,South African Grand Prix,3/1/1980,,kyalami
1980_4,1980,4,United States Grand Prix West,3/30/1980,,long_beach
1980_5,1980,5,Belgian Grand Prix,5/4/1980,,zolder
1980_6,1980,6,Monaco Grand Prix,5/18/1980,,monaco
1980_7,1980,7,French Grand Prix,6/29/1980,,ricard
1980_8,1980,8,British Grand Prix,7/13/1980,,brands_hatch
1980_9,1980,9,German Grand Prix,8/10/1980,,hockenheimring
1980_10,1980,10,Austrian Grand Prix,8/17/1980,,red_bull_ring
1980_11,1980,11,Dutch Grand Prix,8/31/1980,,zandvoort
1980_12,1980,12,Italian Grand Prix,9/14/1980,,imola
1980_13,1980,13,Canadian Grand Prix,9/28/1980,,villeneuve
1980_14,1980,14,United States Grand Prix,10/5/1980,,watkins_glen
1981_1,1981,1,United States Grand Prix West,3/15/1981,,long_beach
1981_2,1981,2,Brazilian Grand Prix,3/29/1981,,jacarepagua
1981_3,1981,3,Argentine Grand Prix,4/12/1981,,galvez
1981_4,1981,4,San Marino Grand Prix,5/3/1981,,imola
1981_5,1981,5,Belgian Grand Prix,5/17/1981,,zolder
1981_6,1981,6,Monaco Grand Prix,5/31/1981,,monaco
1981_7,1981,7,Spanish Grand Prix,6/21/1981,,jarama
1981_8,1981,8,French Grand Prix,7/5/1981,,dijon
1981_9,1981,9,British Grand Prix,7/18/1981,,silverstone
1981_10,1981,10,German Grand Prix,8/2/1981,,hockenheimring
1981_11,1981,11,Austrian Grand Prix,8/16/1981,,red_bull_ring
1981_12,1981,12,Dutch Grand Prix,8/30/1981,,zandvoort
1981_13,1981,13,Italian Grand Prix,9/13/1981,,monza
1981_14,1981,14,Canadian Grand Prix,9/27/1981,,villeneuve
1981_15,1981,15,Caesars Palace Grand Prix,10/17/1981,,las_vegas
1982_1,1982,1,South African Grand Prix,1/23/1982,,kyalami
1982_2,1982,2,Brazilian Grand Prix,3/21/1982,,jacarepagua
1982_3,1982,3,United States Grand Prix West,4/4/1982,,long_beach
1982_4,1982,4,San Marino Grand Prix,4/25/1982,,imola
1982_5,1982,5,Belgian Grand Prix,5/9/1982,,zolder
1982_6,1982,6,Monaco Grand Prix,5/23/1982,,monaco
1982_7,1982,7,Detroit Grand Prix,6/6/1982,,detroit
1982_8,1982,8,Canadian Grand Prix,6/13/1982,,villeneuve
1982_9,1982,9,Dutch Grand Prix,7/3/1982,,zandvoort
1982_10,1982,10,British Grand Prix,7/18/1982,,brands_hatch
1982_11,1982,11,French Grand Prix,7/25/1982,,ricard
1982_12,1982,12,German Grand Prix,8/8/1982,,hockenheimring
1982_13,1982,13,Austrian Grand Prix,8/15/1982,,red_bull_ring
1982_14,1982,14,Swiss Grand Prix,8/29/1982,,dijon
1982_15,1982,15,Italian Grand Prix,9/12/1982,,monza
1982_16,1982,16,Caesars Palace Grand Prix,9/25/1982,,las_vegas
1983_1,1983,1,Brazilian Grand Prix,3/13/1983,,jacarepagua
1983_2,1983,2,United States Grand Prix West,3/27/1983,,long_beach
1983_3,1983,3,French Grand Prix,4/17/1983,,ricard
1983_4,1983,4,San Marino Grand Prix,5/1/1983,,imola
1983_5,1983,5,Monaco Grand Prix,5/15/1983,,monaco
1983_6,1983,6,Belgian Grand Prix,5/22/1983,,spa
1983_7,1983,7,Detroit Grand Prix,6/5/1983,,detroit
1983_8,1983,8,Canadian Grand Prix,6/12/1983,,villeneuve
1983_9,1983,9,British Grand Prix,7/16/1983,,silverstone
1983_10,1983,10,German Grand Prix,8/7/1983,,hockenheimring
1983_11,1983,11,Austrian Grand Prix,8/14/1983,,red_bull_ring
1983_12,1983,12,Dutch Grand Prix,8/28/1983,,zandvoort
1983_13,1983,13,Italian Grand Prix,9/11/1983,,monza
1983_14,1983,14,European Grand Prix,9/25/1983,,brands_hatch
1983_15,1983,15,South African Grand Prix,10/15/1983,,kyalami
1984_1,1984,1,Brazilian Grand Prix,3/25/1984,,jacarepagua
1984_2,1984,2,South African Grand Prix,4/7/1984,,kyalami
1984_3,1984,3,Belgian Grand Prix,4/29/1984,,zolder
1984_4,1984,4,San Marino Grand Prix,5/6/1984,,imola
1984_5,1984,5,French Grand Prix,5/20/1984,,dijon
1984_6,1984,6,Monaco Grand Prix,6/3/1984,,monaco
1984_7,1984,7,Canadian Grand Prix,6/17/1984,,villeneuve
1984_8,1984,8,Detroit Grand Prix,6/24/1984,,detroit
1984_9,1984,9,Dallas Grand Prix,7/8/1984,,dallas
1984_10,1984,10,British Grand Prix,7/22/1984,,brands_hatch
1984_11,1984,11,German Grand Prix,8/5/1984,,hockenheimring
1984_12,1984,12,Austrian Grand Prix,8/19/1984,,red_bull_ring
1984_13,1984,13,Dutch Grand Prix,8/26/1984,,zandvoort
1984_14,1984,14,Italian Grand Prix,9/9/1984,,monza
1984_15,1984,15,European Grand Prix,10/7/1984,,nurburgring
1984_16,1984,16,Portuguese Grand Prix,10/21/1984,,estoril
1985_1,1985,1,Brazilian Grand Prix,4/7/1985,,jacarepagua
1985_2,1985,2,Portuguese Grand Prix,4/21/1985,,estoril
1985_3,1985,3,San Marino Grand Prix,5/5/1985,,imola
1985_4,1985,4,Monaco Grand Prix,5/19/1985,,monaco
1985_5,1985,5,Canadian Grand Prix,6/16/1985,,villeneuve
1985_6,1985,6,Detroit Grand Prix,6/23/1985,,detroit
1985_7,1985,7,French Grand Prix,7/7/1985,,ricard
1985_8,1985,8,British Grand Prix,7/21/1985,,silverstone
1985_9,1985,9,German Grand Prix,8/4/1985,,nurburgring
1985_10,1985,10,Austrian Grand Prix,8/18/1985,,red_bull_ring
1985_11,1985,11,Dutch Grand Prix,8/25/1985,,zandvoort
1985_12,1985,12,Italian Grand Prix,9/8/1985,,monza
1985_13,1985,13,Belgian Grand Prix,9/15/1985,,spa
1985_14,1985,14,European Grand Prix,10/6/1985,,brands_hatch
1985_15,1985,15,South African Grand Prix,10/19/1985,,kyalami
1985_16,1985,16,Australian Grand Prix,11/3/1985,,adelaide
1986_1,1986,1,Brazilian Grand Prix,3/23/1986,,jacarepagua
1986_2,1986,2,Spanish Grand Prix,4/13/1986,,jerez
1986_3,1986,3,San Marino Grand Prix,4/27/1986,,imola
1986_4,1986,4,Monaco Grand Prix,5/11/1986,,monaco
